trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
662,False,"{'a': 0.5, 'e': 0.5067893337266681}",25,7,-9.485212453955183,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 0}",1
663,False,"{'a': 0.5, 'e': 0.5054352598938178}",25,8,4.923212805238807,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
664,False,"{'a': 0.5, 'e': 0.5040799402138512}",25,8,3.768725472516696,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
665,False,"{'a': 0.5, 'e': 0.5027233780274953}",20,14,-1.5898205430659331,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
666,False,"{'a': 0.5, 'e': 0.5013655766785394}",30,8,-52.383571309772755,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 2}",1
667,False,"{'a': 0.5, 'e': 0.5000065395138273}",20,0,10.694798443135644,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
668,False,"{'a': 0.5, 'e': 0.4986462698832494}",30,24,12.564511623421433,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
669,False,"{'a': 0.5, 'e': 0.4972847711397331}",20,0,16.160885722080895,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
670,False,"{'a': 0.5, 'e': 0.49592204663923617}",20,0,-24.121386555445497,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
671,False,"{'a': 0.5, 'e': 0.4945580997407378}",20,0,-61.08857548346788,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
672,False,"{'a': 0.5, 'e': 0.4931929338062296}",25,0,-21.898638751326416,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
673,False,"{'a': 0.5, 'e': 0.4918265522007085}",20,0,-60.7550491320255,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
674,False,"{'a': 0.5, 'e': 0.4904589582921681}",30,9,1.6891439496592084,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 0}",1
675,False,"{'a': 0.5, 'e': 0.4890901554515896}",20,15,3.3462130312498592,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
